year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late,departure_region,arrival_region,pct_cancelled
2015,3,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.7949886105,439,0,25,19.84,1.70159453303,35.0,18.7428571429,1.69248291572,0.21875,0.40625,0.125,0.15625,0.03125,0.0625,11.0,42.1818182,6.0,1.0,CVDL,IDF,0.0
2015,3,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,337.497237569,181,0,4,22.0,0.629834254144,17.0,43.2941176471,5.69060773481,0.3125,0.3125,0.125,0.1875,0.0625,0.0,17.0,43.2941176,6.0,2.0,O,IDF,0.0
2015,3,National,PARIS NORD,ARRAS,53.0207667732,314,1,9,10.1111111111,0.507987220447,17.0,11.2941176471,-0.600638977636,0.333333333333,0.333333333333,0.133333333333,0.0,0.0,0.2,2.0,25.0,1.0,0.0,IDF,HDF,0.0031847133757961785
2015,3,National,PARIS NORD,DUNKERQUE,122.996168582,262,1,7,19.2857142857,0.701149425287,17.0,21.8823529412,1.75862068966,0.352941176471,0.235294117647,0.235294117647,0.0588235294118,0.0588235294118,0.0588235294118,12.0,25.75,4.0,0.0,IDF,HDF,0.003816793893129771
2015,3,National,LILLE,LYON PART DIEU,193.826086957,277,1,19,17.1052631579,1.71014492754,15.0,30.4,2.80797101449,0.0666666666667,0.0666666666667,0.333333333333,0.266666666667,0.0,0.266666666667,13.0,33.0,4.0,1.0,HDF,IDF,0.0036101083032490976
2015,3,National,MARSEILLE ST CHARLES,LYON PART DIEU,100.880692168,550,1,52,18.4807692308,2.08378870674,85.0,29.7764705882,7.31329690346,0.207317073171,0.353658536585,0.243902439024,0.121951219512,0.0365853658537,0.0365853658537,54.0,39.4444444,20.0,7.0,PACA,IDF,0.0018181818181818182
2015,3,National,RENNES,LYON PART DIEU,260.702970297,102,1,4,10.5,0.594059405941,8.0,68.25,5.16831683168,0.5,0.25,0.125,0.125,0.0,0.0,8.0,68.25,3.0,1.0,B,IDF,0.00980392156862745
2015,3,National,NANTES,STRASBOURG,325.9375,40,0,1,19.0,0.8,3.0,40.0,2.925,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,3.0,40.0,1.0,1.0,PDLL,GE,0.0
2015,3,International,PARIS EST,STUTTGART,146.129166667,120,0,5,15.8,0.758333333333,12.0,34.0,5.58333333333,,,,,,,9.0,41.0,6.0,2.0,IDF,ALLEMAGNE,0.0
2015,3,International,PARIS LYON,GENEVE,172.641552511,219,0,6,18.0,0.579908675799,11.0,21.7272727273,1.99543378995,,,,,,,9.0,23.3333333,1.0,0.0,IDF,SUISSE,0.0
2015,3,International,ITALIE,PARIS LYON,257.298913043,92,0,15,16.2,3.03260869565,5.0,26.4,0.565217391304,0.0,0.2,0.6,0.0,0.0,0.2,5.0,26.4,2.0,0.0,ITALIE,IDF,0.0
2015,3,International,PARIS LYON,LAUSANNE,179.990654206,107,0,5,12.4,0.635514018692,1.0,18.0,2.17757009346,,,,,,,1.0,18.0,0.0,0.0,IDF,SUISSE,0.0
2015,2,National,PARIS EST,STRASBOURG,141.638676845,400,7,15,16.4,0.730279898219,33.0,30.4242424242,3.8727735369,0.322580645161,0.322580645161,0.0322580645161,0.193548387097,0.129032258065,0.0,23.0,38.2608696,8.0,6.0,IDF,GE,0.0175
2015,2,National,PARIS LYON,AVIGNON TGV,159.712581345,461,0,14,20.5,0.691973969631,28.0,24.5714285714,2.3557483731,0.321428571429,0.285714285714,0.0357142857143,0.214285714286,0.0357142857143,0.107142857143,17.0,32.4705882,7.0,1.0,IDF,PACA,0.0
